received;score;is_arquivamento;hits;subject;processos;indicios;entry_id;html_file;html_filename;processed_publications
2025-06-24_113235;0;0;;Publicações do dia : 23/06/2025 | Jornal RIO GRANDE DO NORTE;0800394-35.2025.4.05.8402;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458410000;html\2025-06-24_113235__Publicações do dia _ 23_06_2025 _ Jornal RIO GRANDE DO NORTE.html;2025-06-24_113235__Publicações do dia _ 23_06_2025 _ Jornal RIO GRANDE DO NORTE.html;
2025-06-24_113154;0;0;;Publicações do dia : 23/06/2025 | Jornal SERGIPE;"0801354-85.2025.4.05.8500; 0802043-32.2025.4.05.8500";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458400000;html\2025-06-24_113154__Publicações do dia _ 23_06_2025 _ Jornal SERGIPE.html;2025-06-24_113154__Publicações do dia _ 23_06_2025 _ Jornal SERGIPE.html;
2025-06-24_113036;0;0;;Publicações do dia : 23/06/2025 | Jornal TRIBUNAIS SUPERIORES;"0810201-65.2025.4.05.0000; 0810483-58.2022.4.05.8100; 0813723-66.2024.4.05.8300";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4583F0000;html\2025-06-24_113036__Publicações do dia _ 23_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;2025-06-24_113036__Publicações do dia _ 23_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;
2025-06-24_112911;0;0;;Publicações do dia : 23/06/2025 | Jornal PARAIBA;0805613-87.2024.4.05.8200;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4583E0000;html\2025-06-24_112911__Publicações do dia _ 23_06_2025 _ Jornal PARAIBA.html;2025-06-24_112911__Publicações do dia _ 23_06_2025 _ Jornal PARAIBA.html;
2025-06-24_112823;0;0;;Publicações do dia : 23/06/2025 | Jornal CEARA;"0801164-61.2025.4.05.8100; 0801279-76.2025.4.05.8102";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4583D0000;html\2025-06-24_112823__Publicações do dia _ 23_06_2025 _ Jornal CEARA.html;2025-06-24_112823__Publicações do dia _ 23_06_2025 _ Jornal CEARA.html;
2025-06-24_112726;0;0;;Publicações do dia : 23/06/2025 | Jornal ALAGOAS;0804780-53.2025.4.05.8000;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4583C0000;html\2025-06-24_112726__Publicações do dia _ 23_06_2025 _ Jornal ALAGOAS.html;2025-06-24_112726__Publicações do dia _ 23_06_2025 _ Jornal ALAGOAS.html;
2025-06-24_110255;0;0;;Publicações do dia : 24/06/2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MARANHÃO - MATO GROSSO - MATO GROSSO DO SUL - MINAS GERAIS - PARÁ - PARAÍBA - PARANÁ - PERNAMBUCO - PIAUÍ - RIO DE ...;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4583B0000;html\2025-06-24_110255__Publicações do dia _ 24_06_2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MAR.html;2025-06-24_110255__Publicações do dia _ 24_06_2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MAR.html;
2025-06-24_105019;0;0;;Publicações do dia : 24/06/2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MARANHÃO - MATO GROSSO - MATO GROSSO DO SUL - MINAS GERAIS - PARÁ - PARAÍBA - PARANÁ - PERNAMBUCO - PIAUÍ - RIO DE ...;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4583A0000;html\2025-06-24_105019__Publicações do dia _ 24_06_2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MAR.html;2025-06-24_105019__Publicações do dia _ 24_06_2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MAR.html;
2025-06-24_103039;0;0;;Publ.: 24/06/2025 - TOCANTINS;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458390000;html\2025-06-24_103039__Publ._ 24_06_2025 - TOCANTINS.html;2025-06-24_103039__Publ._ 24_06_2025 - TOCANTINS.html;
2025-06-24_103020;0;0;;Publ.: 24/06/2025 - RONDONIA;"1000932-39.2025.4.01.4103; 7015295-92.2025.8.22.0001; 7029945-57.2019.8.22.0001";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458380000;html\2025-06-24_103020__Publ._ 24_06_2025 - RONDONIA.html;2025-06-24_103020__Publ._ 24_06_2025 - RONDONIA.html;
2025-06-24_103010;0;0;;Publ.: 24/06/2025 - SERGIPE;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458370000;html\2025-06-24_103010__Publ._ 24_06_2025 - SERGIPE.html;2025-06-24_103010__Publ._ 24_06_2025 - SERGIPE.html;
2025-06-24_102947;0;0;;Publ.: 24/06/2025 - RORAIMA;1012164-82.2024.4.01.4200;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458340000;html\2025-06-24_102947__Publ._ 24_06_2025 - RORAIMA.html;2025-06-24_102947__Publ._ 24_06_2025 - RORAIMA.html;
2025-06-24_102904;0;0;;Publ.: 24/06/2025 - PIAUI;1024593-65.2025.4.01.4000;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458310000;html\2025-06-24_102904__Publ._ 24_06_2025 - PIAUI.html;2025-06-24_102904__Publ._ 24_06_2025 - PIAUI.html;
2025-06-24_102900;0;0;;Publ.: 24/06/2025 - PERNAMBUCO;0000285-50.2025.8.17.9901;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458300000;html\2025-06-24_102900__Publ._ 24_06_2025 - PERNAMBUCO.html;2025-06-24_102900__Publ._ 24_06_2025 - PERNAMBUCO.html;
